title,rating,vote,quote
哪吒闹海,9.2,281030,想你时你在闹海。
告白,8.8,710950,没有一人完全善，也没有一人完全恶。
喜宴,9.0,399589,中国家庭的喜怒哀乐忍。
玛丽和马克思,9.0,441170,你是我最好的朋友，你是我唯一的朋友 。
模仿游戏,8.8,691469,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
头号玩家,8.6,1447702,写给影迷，动漫迷和游戏迷的一封情书。
花样年华,8.8,664117,偷情本没有这样美。
大鱼,8.8,601100,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
七武士,9.3,216706,时代悲歌。
射雕英雄传之东成西就,8.7,682771,百看不厌。 
惊魂记,9.0,329615,故事的反转与反转，分裂电影的始祖。
血战钢锯岭,8.7,824707,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
我是山姆,9.0,359856,爱并不需要智商 。
阳光姐妹淘,8.8,615537,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
恐怖直播,8.7,697009,恐怖分子的“秋菊打官司”。
你的名字。,8.5,1517647,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
黑客帝国3：矩阵革命,8.8,474820,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
三块广告牌,8.7,876957,怼天怼地，你走后，她与世界为敌。
心迷宫,8.8,576292,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
电锯惊魂,8.7,577981,真相就在眼前。
小丑,8.7,1082267,
达拉斯买家俱乐部,8.8,483391,Jared Leto的腿比女人还美！
背靠背，脸对脸,9.5,159698,
心灵奇旅,8.7,1068173,
疯狂原始人,8.7,885429,老少皆宜，这就是好莱坞动画的魅力。
谍影重重3,8.8,446472,像吃了苏打饼一样干脆的电影。
绿里奇迹,8.9,364019,天使暂时离开。
上帝之城,9.0,319533,被上帝抛弃了的上帝之城。
海街日记,8.8,489874,是枝裕和的家庭习作。
爱在午夜降临前,8.9,442120,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
英雄本色,8.6,578308,英雄泪短，兄弟情长。 
风之谷,8.9,376918,动画片的圣经。
无间道2,8.8,529276,
疯狂的石头,8.6,881280,中国版《两杆大烟枪》。
2001太空漫游,8.9,366635,现代科幻电影的开山之作，最伟大导演的最伟大影片。
雨中曲,9.1,249458,骨灰级歌舞片。
纵横四海,8.8,454346,香港浪漫主义警匪动作片的巅峰之作。
卢旺达饭店,8.9,351802,当这个世界闭上双眼，他却敞开了怀抱。
记忆碎片,8.7,640821,一个针管引发的血案。
小偷家族,8.7,862678,我们组成了家。
无敌破坏王,8.7,581612,迪士尼和皮克斯拿错剧本的产物。
岁月神偷,8.7,596976,岁月流逝，来日可追。
冰川时代,8.6,656037,松鼠才是角儿。
牯岭街少年杀人事件,8.9,338515,弱者送给弱者的一刀。
荒蛮故事,8.8,473290,始于荒诞，止于更荒诞。
忠犬八公物语,9.2,208829,养狗三日，便会对你终其一生。
恐怖游轮,8.5,936246,不要企图在重复中寻找已经失去的爱。
爆裂鼓手,8.6,646190,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
末路狂花,9.0,304352,没有了退路，只好飞向自由。
东京教父,9.0,263311,
魔女宅急便,8.7,497013,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
大佛普拉斯,8.7,516076,人们可以登上月球，却永远无法探索人们内心的宇宙。
遗愿清单,8.7,504108,用剩余不多的时间，去燃烧整个生命。
贫民窟的百万富翁,8.6,781805,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
高山下的花环,9.5,127276,
东邪西毒,8.6,608615,电影诗。
你看起来好像很好吃,8.9,355497,感情不分食草或者食肉。
源代码,8.5,885373,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
疯狂的麦克斯4：狂暴之路,8.7,587044,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
可可西里,8.9,327021,坚硬的信仰。
海边的曼彻斯特,8.6,607028,我们都有权利不与自己的过去和解。
城市之光,9.3,160706,永远的小人物，伟大的卓别林。
波西米亚狂想曲,8.6,655324,
黑天鹅,8.6,817120,黑暗之美。
芙蓉镇,9.3,166394,
爱乐之城,8.4,1025495,
真爱至上,8.5,774438,爱，是个动词。
青蛇,8.6,562325,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
花束般的恋爱,8.6,737745,
初恋这件小事,8.5,1020371,黑小鸭速效美白记。
雨人,8.7,427106,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
终结者2：审判日,8.8,364352,少见的超越首部的续集，动作片中的经典。
